key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.23229,0.0,80.0,80.0,11.0,1.0,10000.0,0.0,39000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.82709,0.0,81.0,81.0,36.0,1.0,5000.0,0.0,36000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,3.138415,0.0,82.0,82.0,80.0,1.0,25000.0,0.0,35000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.73638,0.0,83.0,83.0,60.0,1.0,25000.0,0.0,35000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.840525,0.0,84.0,84.0,6.0,1.0,10000.0,0.0,40000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.134035,0.0,85.0,85.0,84.0,1.0,25000.0,0.0,150000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,1.258275,0.0,86.0,86.0,16.0,1.0,10000.0,0.0,39000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.975995,0.0,87.0,87.0,8.0,1.0,10000.0,0.0,111000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,1.816935,0.0,88.0,88.0,40.0,1.0,5000.0,0.0,14000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,4.88589,0.0,89.0,89.0,25.0,1.0,10000.0,0.0,10000.0,150.0
